Name,Brand,Model,Inches,Price,Price_Category,DisplayType,Resolution,Colour,Width,Height,PPI,Original_Brand
tcl 50p755 50 inch (127 cm) qled 4k tv,Tcl,50p755 5,50,37990,Mid-range,4K,3840x2160,Black,3840,2160,88.12,tcl
tcl 75p755 pro 75 inch (190 cm) qled 4k tv,Tcl,75p755 pro 7,75,119990,Premium,4K,3840x2160,Black,3840,2160,58.74,tcl
tcl 65p755 pro 65 inch (165 cm) qled 4k tv,Tcl,65p755 pro 6,65,69990,High-end,4K,3840x2160,Black,3840,2160,67.78,tcl
tcl 55c655 55 inch (139 cm) qled 4k tv,Tcl,55c655 5,55,47990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,tcl
lg 75ut90506lb 75 inch (190 cm) led 4k tv,Lg,75ut90506lb 7,75,169990,Premium,4K,3840x2160,Black,3840,2160,58.74,lg
lg 55ut90506lb 55 inch (139 cm) led 4k tv,Lg,55ut90506lb 5,55,67990,High-end,4K,3840x2160,Black,3840,2160,80.11,lg
lg 43ut90506lb 43 inch (109 cm) led 4k tv,Lg,43ut90506lb 4,43,54990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,lg
lg 65ut90506lb 65 inch (165 cm) led 4k tv,Lg,65ut90506lb 6,65,109990,Premium,4K,3840x2160,Black,3840,2160,67.78,lg
tcl 55p655 55 inch (139 cm) led 4k tv,Tcl,55p655 5,55,40990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,tcl
tcl 43p755 43 inch (109 cm) led 4k tv,Tcl,43p755 4,43,31990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,tcl
tcl 43c655 43 inch (109 cm) qled 4k tv,Tcl,43c655 4,43,34990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,tcl
